MPC Date,tone_GT_entire,tone_GT,flair_fast_scores,flair_scores,blob_scores,bing_scores,gi_scores,mpqa_scores,nrc_scores,lm_scores,compound_scores,afinn_scores
20000113,28.571428571428573,26.19047619047619,0.07964601769911504,-0.13274336283185842,0.07306446388079038,0.4936708860759494,0.5428571428571428,0.36619718309859156,0.6854838709677419,0.07246376811594203,0.25,142.0
20000302,44.067796610169495,47.45762711864407,-0.19047619047619047,-0.2619047619047619,0.08111872950282038,-0.015384615384615385,0.20833333333333334,0.13793103448275862,0.4371859296482412,-0.38095238095238093,0.11,64.0
20000406,27.272727272727273,27.272727272727273,-0.06870229007633588,-0.16030534351145037,0.06881682667857449,0.19148936170212766,0.11290322580645161,0.2777777777777778,0.4780058651026393,-0.11666666666666667,0.13,120.0
20000519,28.985507246376812,28.985507246376812,-0.01098901098901099,-0.16483516483516483,0.103184276392241,0.25,0.10344827586206896,0.3088235294117647,0.3488372093023256,-0.0967741935483871,0.2,90.0
20000615,-4.545454545454546,-4.545454545454546,-0.2391304347826087,-0.32608695652173914,0.06336446002375203,-0.2459016393442623,0.02857142857142857,0.1134020618556701,0.27102803738317754,-0.5172413793103449,0.09,40.0
20000811,23.18840579710145,23.18840579710145,-0.14606741573033707,0.033707865168539325,0.07539831285091947,0.15151515151515152,0.23809523809523808,0.32710280373831774,0.3804347826086957,-0.20634920634920634,0.19,66.0
20000921,18.840579710144926,18.840579710144926,-0.37777777777777777,-0.3111111111111111,0.04019459184781763,-0.05084745762711865,-0.28205128205128205,-0.05154639175257732,0.4215686274509804,-0.4827586206896552,0.18,78.0
20001016,25.0,25.0,-0.23076923076923078,-0.5384615384615384,0.019186507936507936,-0.3333333333333333,-0.5,0.0,0.3103448275862069,-0.6666666666666666,0.06,0.0
20001116,22.857142857142858,25.714285714285715,-0.10344827586206896,-0.21839080459770116,0.06456513283670644,-0.08771929824561403,-0.20689655172413793,0.06976744186046512,0.28888888888888886,-0.42857142857142855,0.1,57.0
20010119,15.277777777777779,18.055555555555557,-0.4639175257731959,-0.31958762886597936,0.06648803705255318,-0.0379746835443038,-0.03571428571428571,0.09401709401709402,0.3793103448275862,-0.30120481927710846,0.15,79.0
20010316,6.25,6.25,-0.25,-0.18181818181818182,0.04411093159896988,0.18604651162790697,0.23333333333333334,0.21311475409836064,0.3689839572192513,-0.16417910447761194,0.16,98.0
20010425,6.896551724137931,6.896551724137931,-0.2911392405063291,-0.26582278481012656,0.07194786694786695,-0.09433962264150944,-0.1111111111111111,0.056179775280898875,0.44385026737967914,-0.34545454545454546,0.17,63.0
20010614,6.578947368421052,9.210526315789474,-0.29523809523809524,-0.3904761904761905,0.05669138474694028,-0.14285714285714285,-0.038461538461538464,0.24271844660194175,0.2980769230769231,-0.5454545454545454,0.13,58.0
20010726,-16.071428571428573,-16.071428571428573,-0.4942528735632184,-0.3793103448275862,0.05903552532123963,-0.24242424242424243,0.023255813953488372,0.0,0.3089005235602094,-0.6721311475409836,0.18,72.0
20010920,7.246376811594203,7.246376811594203,-0.3626373626373626,-0.18681318681318682,0.037560482560482555,-0.125,-0.13725490196078433,-0.016666666666666666,0.33617021276595743,-0.4358974358974359,0.15,69.0
20011115,-12.941176470588236,-10.588235294117647,-0.34579439252336447,-0.2897196261682243,0.04915257368544564,-0.23636363636363636,-0.25,-0.04225352112676056,0.17777777777777778,-0.6288659793814433,0.04,36.0
20020115,42.857142857142854,42.857142857142854,-0.3333333333333333,-0.3333333333333333,0.07334570191713048,0.0,-0.3333333333333333,0.2,0.2,0.0,0.08,3.0
20020314,59.45945945945946,59.45945945945946,-0.15384615384615385,-0.34615384615384615,0.0741170634920635,0.0,-0.3333333333333333,0.18032786885245902,0.3387096774193548,-0.36,0.17,45.0
20020613,45.45454545454545,45.45454545454545,-0.05714285714285714,-0.22857142857142856,0.10894979513592645,0.11627906976744186,-0.3170731707317073,0.35714285714285715,0.425,-0.3333333333333333,0.17,43.0
20020912,44.44444444444444,44.44444444444444,-0.3448275862068966,-0.5172413793103449,0.0807258572640252,-0.22727272727272727,-0.2727272727272727,0.04225352112676056,0.45454545454545453,-0.5833333333333334,0.2,45.0
20021128,15.789473684210526,15.789473684210526,-0.19148936170212766,-0.40425531914893614,0.0582707707707708,-0.1875,-0.40540540540540543,0.0847457627118644,0.21008403361344538,-0.4666666666666667,0.09,24.0
20030320,36.144578313253014,36.144578313253014,-0.12727272727272726,-0.23636363636363636,0.06766872082166196,-0.010526315789473684,-0.2619047619047619,0.20279720279720279,0.3605015673981191,-0.42857142857142855,0.11,58.0
20030612,-13.72549019607843,-9.803921568627452,-0.2631578947368421,-0.34210526315789475,0.08413565517481175,0.07936507936507936,-0.42857142857142855,0.17525773195876287,0.22388059701492538,-0.4666666666666667,0.07,26.0
20030814,4.651162790697675,4.651162790697675,-0.2,-0.26666666666666666,0.0810572730409687,0.08196721311475409,-0.27586206896551724,0.12,0.27,-0.36585365853658536,0.2,58.0
20030910,-5.128205128205129,-5.128205128205129,-0.3333333333333333,-0.24444444444444444,0.08125401825896875,0.25,-0.1724137931034483,0.05263157894736842,0.41284403669724773,-0.030303030303030304,0.22,49.0
20031016,8.695652173913043,13.043478260869565,-0.2,-0.3333333333333333,0.08158174408174404,0.07407407407407407,-0.28,0.16666666666666666,0.35751295336787564,-0.3157894736842105,0.22,51.0
20031211,21.666666666666668,21.666666666666668,-0.2,-0.36,0.05103451315099042,0.15789473684210525,-0.4025974025974026,0.3592233009708738,0.2446351931330472,-0.2765957446808511,0.15,61.0
20040226,14.893617021276595,14.893617021276595,-0.2,-0.2,0.07142678840954704,0.07246376811594203,-0.35294117647058826,0.11764705882352941,0.26548672566371684,-0.2857142857142857,0.16,58.0
20040422,32.69230769230769,32.69230769230769,-0.2647058823529412,-0.17647058823529413,0.07164367982965546,0.034482758620689655,-0.375,0.0851063829787234,0.2923076923076923,-0.34782608695652173,0.15,42.0
20040610,50.0,50.0,-0.2698412698412698,-0.30158730158730157,0.0573135198135198,-0.1,-0.6,0.06493506493506493,0.2795031055900621,-0.07142857142857142,0.15,54.0
20040812,15.873015873015873,15.873015873015873,-0.027777777777777776,-0.5277777777777778,0.07027792272211912,0.13043478260869565,-0.37349397590361444,0.125,0.18222222222222223,-0.3559322033898305,0.13,68.0
20041014,26.41509433962264,26.41509433962264,-0.35294117647058826,-0.17647058823529413,0.06314324936808158,0.17647058823529413,-0.4339622641509434,0.20512820512820512,0.32972972972972975,-0.4375,0.16,64.0
20041209,37.096774193548384,37.096774193548384,0.0379746835443038,-0.06329113924050633,0.06953396749449381,0.34177215189873417,-0.10843373493975904,0.36134453781512604,0.3504273504273504,0.0,0.26,145.0
20050210,36.0,36.0,-0.18181818181818182,-0.12121212121212122,0.08088143338143333,0.35714285714285715,-0.1724137931034483,0.26666666666666666,0.35353535353535354,0.0,0.29,119.0
20050414,10.256410256410257,12.820512820512821,-0.21428571428571427,-0.11904761904761904,0.06937188903481037,0.1076923076923077,-0.2222222222222222,0.2743362831858407,0.18095238095238095,-0.20833333333333334,0.14,96.0
20050609,29.850746268656717,29.850746268656717,-0.32432432432432434,-0.13513513513513514,0.05293492150419861,0.09090909090909091,-0.3230769230769231,0.02,0.23756906077348067,-0.4857142857142857,0.15,68.0
20050811,31.57894736842105,34.21052631578947,-0.023809523809523808,0.0,0.059481902356902365,0.1864406779661017,-0.3142857142857143,0.10679611650485436,0.21428571428571427,-0.08,0.2,94.0
20051013,43.66197183098591,43.66197183098591,-0.3783783783783784,-0.24324324324324326,0.06092111592111591,-0.047619047619047616,-0.16455696202531644,0.2,0.09782608695652174,-0.11627906976744186,0.13,50.0
20051208,7.142857142857143,10.0,-0.32432432432432434,-0.35135135135135137,0.06394634787726895,0.12727272727272726,-0.22388059701492538,0.3176470588235294,0.1329479768786127,-0.3333333333333333,0.14,67.0
20060202,36.36363636363637,36.36363636363637,-0.14666666666666667,-0.12,0.075171367094444,0.3898305084745763,-0.2,0.29411764705882354,0.14917127071823205,0.022222222222222223,0.24,89.0
20060413,38.028169014084504,40.84507042253521,-0.2289156626506024,-0.3253012048192771,0.07289400305576778,-0.06896551724137931,-0.34210526315789475,0.16279069767441862,0.12264150943396226,-0.4230769230769231,0.14,61.0
20060608,35.9375,39.0625,-0.13513513513513514,-0.13513513513513514,0.04316770186335405,-0.24528301886792453,-0.23943661971830985,0.12643678160919541,0.1595744680851064,-0.2,0.11,34.0
20060803,38.888888888888886,41.666666666666664,-0.1566265060240964,-0.13253012048192772,0.06038529466443578,-0.08771929824561403,-0.07042253521126761,0.16666666666666666,0.29533678756476683,-0.4583333333333333,0.14,55.0
20061012,32.55813953488372,34.883720930232556,-0.20430107526881722,-0.26881720430107525,0.05994650942926803,0.014492753623188406,-0.15217391304347827,0.1826086956521739,0.2033195020746888,-0.24528301886792453,0.13,60.0
20061207,28.205128205128204,25.641025641025642,-0.11627906976744186,-0.27906976744186046,0.05607759329278316,0.0,-0.08888888888888889,0.18095238095238095,0.20772946859903382,-0.2857142857142857,0.2,82.0
20070215,23.076923076923077,25.641025641025642,-0.1590909090909091,-0.22727272727272727,0.03413604855060552,0.0847457627118644,-0.27058823529411763,0.29292929292929293,0.18592964824120603,0.0,0.18,76.0
20070412,30.666666666666668,30.666666666666668,-0.16666666666666666,-0.14285714285714285,0.052403080550401986,-0.04225352112676056,-0.23943661971830985,0.09803921568627451,0.2079207920792079,-0.11475409836065574,0.19,82.0
20070607,47.674418604651166,47.674418604651166,-0.20833333333333334,-0.25,0.0845446893174166,-0.030303030303030304,-0.20930232558139536,0.24770642201834864,0.20361990950226244,-0.1875,0.2,79.0
20070816,24.63768115942029,24.63768115942029,-0.2345679012345679,-0.38271604938271603,0.028280404193102623,-0.24528301886792453,-0.13846153846153847,-0.02,0.3128205128205128,-0.46938775510204084,0.18,84.0
20071011,23.28767123287671,23.28767123287671,-0.21951219512195122,-0.24390243902439024,0.05033295136236316,-0.125,-0.19480519480519481,0.2087912087912088,0.20603015075376885,-0.5,0.13,49.0
20071206,20.0,23.076923076923077,-0.3972602739726027,-0.3150684931506849,0.03501915299612668,-0.2608695652173913,-0.22388059701492538,0.2054794520547945,0.16279069767441862,-0.5121951219512195,0.04,26.0
20080131,6.557377049180328,6.557377049180328,-0.22857142857142856,-0.5428571428571428,0.03439423268691561,-0.375,-0.2631578947368421,0.09375,0.14093959731543623,-0.627906976744186,0.05,14.0
20080410,5.970149253731344,5.970149253731344,-0.3924050632911392,-0.5949367088607594,0.035721500721500724,-0.40425531914893614,-0.5,0.034482758620689655,0.03910614525139665,-0.660377358490566,0.07,29.0
20080612,2.9411764705882355,2.9411764705882355,-0.358974358974359,-0.5897435897435898,0.03313208762361305,-0.3114754098360656,-0.36231884057971014,0.02857142857142857,0.18324607329842932,-0.59375,0.07,35.0
20080814,-8.450704225352112,-8.450704225352112,-0.3,-0.35,0.025172847522847527,-0.22033898305084745,-0.42857142857142855,0.058823529411764705,0.20855614973262032,-0.6595744680851063,0.11,55.0
20081009,-4.054054054054054,-6.756756756756757,-0.21518987341772153,-0.3670886075949367,0.02970117161878524,-0.125,-0.1724137931034483,0.09565217391304348,0.24761904761904763,-0.4925373134328358,0.08,55.0
20081211,-36.36363636363637,-36.36363636363637,-0.23684210526315788,-0.5789473684210527,0.009463118580765637,-0.2923076923076923,-0.4426229508196721,-0.08235294117647059,0.10309278350515463,-0.625,0.03,20.0
20090205,-36.666666666666664,-36.666666666666664,-0.35384615384615387,-0.5692307692307692,0.030931892534945972,-0.45098039215686275,-0.6153846153846154,-0.2,-0.006622516556291391,-0.8431372549019608,0.04,20.0
20090324,-27.659574468085108,-23.404255319148938,-0.4716981132075472,-0.660377358490566,0.030763950661210942,-0.5319148936170213,-0.5094339622641509,-0.2698412698412698,-0.11564625850340136,-0.75,-0.04,-4.0
20090430,-30.76923076923077,-34.61538461538461,-0.36363636363636365,-0.48484848484848486,0.019627207325049047,-0.3870967741935484,-0.35135135135135137,-0.24324324324324326,0.20903954802259886,-0.7096774193548387,0.02,9.0
20090528,-28.07017543859649,-28.07017543859649,-0.46875,-0.25,0.011921720012271191,-0.3333333333333333,-0.22727272727272727,-0.13924050632911392,0.18571428571428572,-0.5714285714285714,0.02,8.0
20090625,-25.925925925925927,-25.925925925925927,-0.23076923076923078,-0.5384615384615384,0.01962526083029681,-0.41818181818181815,-0.40350877192982454,-0.0379746835443038,0.10989010989010989,-0.7959183673469388,0.05,13.0
20090813,-24.56140350877193,-24.56140350877193,-0.2727272727272727,-0.5757575757575758,0.004958176421591056,-0.1836734693877551,-0.4782608695652174,-0.15254237288135594,0.16312056737588654,-0.4583333333333333,0.03,25.0
20090922,-15.09433962264151,-18.867924528301888,-0.30158730158730157,-0.3968253968253968,0.01416687536522247,-0.13333333333333333,-0.4230769230769231,-0.058823529411764705,0.15,-0.5510204081632653,0.05,6.0
20091022,-12.727272727272727,-12.727272727272727,-0.15151515151515152,-0.42424242424242425,0.027815656565656575,-0.037037037037037035,-0.4444444444444444,0.08823529411764706,0.24050632911392406,-0.42857142857142855,0.08,19.0
20091117,-4.545454545454546,-4.545454545454546,-0.2987012987012987,-0.24675324675324675,0.006258101060732642,-0.07246376811594203,-0.22666666666666666,-0.021739130434782608,0.0967741935483871,-0.3793103448275862,0.01,10.0
20100126,12.0,12.0,-0.21839080459770116,-0.47126436781609193,0.005922290618822411,-0.0851063829787234,-0.24390243902439024,-0.009009009009009009,0.17209302325581396,-0.25,0.05,4.0
20100325,1.2345679012345678,1.2345679012345678,-0.053763440860215055,-0.16129032258064516,0.038740060959448715,0.1919191919191919,-0.23711340206185566,0.1366906474820144,0.26640926640926643,-0.25,0.15,94.0
20100513,24.324324324324323,24.324324324324323,0.08235294117647059,-0.058823529411764705,0.04565748281849979,0.06521739130434782,-0.2413793103448276,0.1262135922330097,0.1111111111111111,-0.375,0.07,43.0
20100722,-9.63855421686747,-12.048192771084338,-0.2826086956521739,-0.17391304347826086,0.04634149129198635,-0.15151515151515152,-0.2619047619047619,0.016666666666666666,0.21818181818181817,-0.52,0.05,22.0
20100909,-15.662650602409638,-13.25301204819277,-0.30526315789473685,-0.28421052631578947,0.023674216533068212,-0.14285714285714285,-0.13513513513513514,0.03816793893129771,0.21991701244813278,-0.35802469135802467,0.06,17.0
20101118,-3.5714285714285716,-1.1904761904761905,-0.0707070707070707,-0.31313131313131315,0.03795771936396938,-0.008130081300813009,-0.25301204819277107,0.051094890510948905,0.26229508196721313,-0.4146341463414634,0.07,51.0
20110120,21.27659574468085,19.148936170212767,-0.24324324324324326,-0.26126126126126126,0.045570899688546725,0.03571428571428571,-0.21951219512195122,0.1891891891891892,0.3053435114503817,-0.13432835820895522,0.15,81.0
